distrito,precio_usd,area_m2,dormitorios,banos,cocheras
San Miguel,173488,139,4,2,1.0
San Martin de Porres,152363,173,3,1,1.0
San Isidro,442572,170,4,3,
San Isidro,311724,119,2,3,0.0
Comas,192885,244,2,2,1.0
Surco,313140,161,4,3,0.0
Miraflores,266564,101,1,1,0.0
San Isidro,219046,98,1,3,2.0
Miraflores,239747,114,2,1,1.0
San Miguel,260750,206,3,2,1.0
San Isidro,380801,156,3,2,1.0
Los Olivos,122185,142,4,1,1.0
San Martin de Porres,163765,211,1,2,1.0
San Miguel,176755,144,4,1,0.0
San Isidro,474715,176,4,1,1.0
San Isidro,183472,69,4,1,1.0
San Martin de Porres,81770,102,1,2,0.0
San Miguel,225497,153,2,3,1.0
